Age,Nationality,Employment_Status,Income_Bin,Income_Numeric,Persona,Willingness_to_Invest,Budget_Bin,Budget_Numeric,Property_Type,Preferred_Areas,Purpose,Research_Sources,Analytics_Importance,Selection_Criteria,Amenities,Research_Duration,Challenges,Lost_Deal,Analytics_Met_Needs,Premium_for_Analytics,Online_Platform_Usage,Influencer,Viewing_Method,Data_Sharing,Analytics_Comfort,Waitlist_Interest
25-34,Expat – Western,Business owner,"Below 10,000",6419,Investor,Very likely,"Below 500,000",254806,Commercial,"Dubai Marina,Other,Palm Jumeirah",Self-use,Agents,Somewhat important,"Rental yield,Location","Parking,Swimming pool,Other",2–4 weeks,"Not enough info on returns,Too many listings",No,No,Yes,Monthly,Self,Physical visit,No,5,No
25-34,GCC National,Homemaker,"60,000+",107696,Renter,Unlikely,"1,000,000–2,000,000",1600883,Land,"Dubai Marina,Jumeirah Village Circle",Self-use,"Agents,Company recommendations",Somewhat important,"Price per sq.ft,Resale value",Swimming pool,2–4 weeks,Too many listings,Yes,No,No,Monthly,Agent,Physical visit,Maybe,1,No
25-34,Expat – Asian,Employed,"10,000–20,000",21770,Investor,Very likely,"Below 500,000",303759,Apartment,"Jumeirah Village Circle,Arabian Ranches,Business Bay",Self-use,"Agents,Social media,Property portals",Very important,"Developer reputation,Resale value","School nearby,Close to metro",More than 3 months,"Confusing legal process,Lack of analytics/data",Yes,Somewhat,No,Daily,Friends,Physical visit,Maybe,3,Yes
35-44,Expat – Asian,Employed,"10,000–20,000",12187,Other,Very unlikely,"500,000–1,000,000",682512,Apartment,Arabian Ranches,Rental income,Agents,Not at all important,"Community amenities,Price per sq.ft,Location",Close to metro,2–4 weeks,"Poor agent response,Fake listings",Yes,No,Maybe,Daily,Self,Virtual tour,No,1,Maybe
25-34,Expat – Asian,Employed,"40,000–60,000",48831,First-time buyer,Unlikely,"1,000,000–2,000,000",1448585,Apartment,"Business Bay,Palm Jumeirah,Downtown Dubai",Vacation home,"Company recommendations,Friends/Family,Social media",Somewhat important,"Price per sq.ft,Community amenities,Location","Parking,Other",1–2 weeks,Fake listings,Yes,Somewhat,No,Monthly,Self,Virtual tour,Maybe,4,Yes
35-44,UAE National,Retired,"10,000–20,000",23861,Investor,Unlikely,"1,000,000–2,000,000",2924424,Land,Jumeirah Village Circle,Other,"Other,Property portals,Agents",Very important,"Price per sq.ft,Community amenities","Shopping mall,Swimming pool,Gym",1–3 months,"Too many listings,Fake listings,Confusing legal process",No,No,No,Weekly,Self,Online photos only,No,5,No
25-34,Expat – Arab,Self-employed,"Below 10,000",22640,First-time buyer,Unlikely,"500,000–1,000,000",866573,Apartment,Palm Jumeirah,Self-use,Agents,Neutral,"Community amenities,Developer reputation,Mortgage eligibility","Close to metro,Swimming pool,Parking,Shopping mall",2–4 weeks,"Other,Not enough info on returns",No,Somewhat,Yes,Daily,Self,Virtual tour,No,4,Yes
25-34,GCC National,Employed,"20,000–40,000",26864,Investor,Neutral,"Below 500,000",469382,Apartment,"Other,Jumeirah Village Circle",Rental income,Property portals,Very important,"Mortgage eligibility,Resale value","Shopping mall,Security,Parking,Close to metro",1–3 months,"Not enough info on returns,Poor agent response,Fake listings",Yes,Somewhat,Yes,Weekly,Self,Virtual tour,Yes,4,Maybe
25-34,Expat – Asian,Business owner,"10,000–20,000",18853,First-time buyer,Neutral,"2,000,000–5,000,000",2092842,Villa/Townhouse,Business Bay,Flip/Resell,"Property portals,Friends/Family,Agents",Neutral,"Location,Price per sq.ft,Mortgage eligibility","Swimming pool,Gym,Shopping mall",More than 3 months,"Fake listings,Too many listings,Not enough info on returns",No,Somewhat,No,Monthly,Self,Online photos only,No,5,Yes
45-54,Expat – Western,Employed,"20,000–40,000",33965,Agent,Likely,"1,000,000–2,000,000",1594077,Apartment,"Business Bay,Downtown Dubai",Self-use,"Agents,Property portals",Somewhat important,"Developer reputation,Resale value,Community amenities","Security,Other,Parking",2–4 weeks,Lack of analytics/data,No,Yes,No,Daily,Online reviews,Virtual tour,No,1,Maybe
